,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,own_goals,opta_index,fiks_id
83,100.0,100.0,76613,0,0,0,0,1,2,1.3,1.0,0,Fredrik,1.0,84,False,,2024-10-18T10:49:03.520061Z,45,76613.jpg,2.4,Sjølstad,0.1,False,,a,4,50,56,18,0,40,0,0.2,12.4,Sjølstad,,1734,0,0,6,25,0,0,2,2,0,5,0,0.000000,3055129.0
84,100.0,100.0,49817,0,0,-3,3,0,4,0.7,0.7,0,Pål Alexander,0.7,85,False,,2024-09-13T08:12:24.597895Z,57,49817.jpg,1.4,Kirkevold,8.3,False,,a,4,50,36,1014,0,9345,0,0.1,6.3,Kirkevold,,911,1,1,1,14,0,0,2,0,0,0,0,0.000000,3721096.0
85,100.0,100.0,129469,0,0,-3,3,0,3,3.7,0.7,0,William,0.7,86,False,,2024-07-13T19:34:20.462257Z,42,129469.jpg,2.0,Kurtović,1.2,False,,a,4,50,45,719,0,1214,0,0.2,10.7,Kurtović,,1502,0,3,2,23,0,0,4,0,0,1,0,0.000000,3373450.0
86,100.0,100.0,93427,0,0,0,0,3,2,2.7,0.7,1,John Olav,0.7,87,False,,2024-05-27T08:05:48.208277Z,45,93427.jpg,3.2,Norheim,5.0,False,,a,4,50,91,2597,0,1971,0,0.2,20.2,Norheim,,2021,4,1,4,27,0,0,3,1,0,11,0,0.000000,3101146.0
87,,,34849,0,0,0,0,3,1,2.0,2.7,3,Marcus,2.7,88,False,,,45,34849.jpg,3.8,Sandberg,8.9,False,,a,4,50,113,2963,0,3974,0,0.6,25.1,Sandberg,,2700,0,0,6,39,1,0,0,0,90,13,0,0.000000,3189894.0
88,0.0,0.0,187131,0,0,-3,3,0,3,0.0,0.0,0,Oliver,0.0,89,False,Solgt til AC Horsens,2024-08-07T12:54:04.234391Z,52,187131.jpg,0.9,Kjærgaard,0.2,False,,u,4,50,10,11,0,92,0,0.0,1.9,Kjærgaard,,375,0,0,0,5,0,0,2,0,0,0,0,0.000000,3384325.0
89,100.0,100.0,162141,0,0,-1,1,0,3,1.0,1.3,1,Tore André,1.3,90,False,,2024-11-10T22:28:11.705932Z,49,162141.jpg,2.3,Hagbø Sørås,0.2,False,,a,4,50,50,134,0,134,0,0.3,10.2,Sørås,,1509,1,2,5,19,0,0,7,0,0,3,0,0.000000,3322005.0
90,100.0,100.0,297414,0,0,-1,1,0,3,0.0,0.3,1,Arne,0.3,91,False,,2024-05-03T11:59:27.532220Z,44,297414.jpg,1.0,Hopland Ødegaard,0.3,False,,a,4,50,9,24,0,78,0,0.1,2.0,Ødegaard,,198,0,0,0,4,0,0,0,0,0,0,0,0.000000,3473952.0
91,100.0,100.0,260765,0,0,-3,3,0,2,1.0,1.0,0,Brynjar Ingi,1.0,92,False,,2024-11-08T22:23:23.487331Z,37,260765.jpg,1.8,Bjarnason,15.6,False,,a,4,50,46,2113,0,8576,0,0.3,12.4,Bjarnason,,1356,2,1,1,24,0,0,4,0,0,0,0,0.000000,3941476.0
92,0.0,0.0,144172,0,0,-3,3,2,4,0.0,0.0,0,Moses,0.3,93,False,Kne - Ute resten av sesongen,2024-11-10T23:32:54.245783Z,52,144172.jpg,2.6,Mawa,3.3,False,,i,4,50,71,4416,0,4198,0,0.1,13.7,Mawa,,1477,6,0,6,21,0,0,3,0,0,8,0,0.000000,3455802.0
93,100.0,100.0,119578,0,0,0,0,1,2,0.3,0.7,1,Viðar Ari,0.7,94,False,,2024-09-21T16:28:52.287249Z,50,119578.jpg,2.9,Jónsson,0.5,False,,a,4,50,61,186,0,198,0,0.1,12.2,Jónsson,,1193,2,2,4,20,0,0,2,0,0,2,0,0.000000,3289639.0
94,,,145271,0,0,0,0,1,2,1.3,0.0,-3,Luc,0.0,95,False,,,45,145271.jpg,2.6,Mares,0.5,False,,a,4,50,79,255,0,213,0,0.0,17.6,Mares,,2649,1,1,6,39,0,0,3,1,0,3,0,0.000000,3925315.0
95,100.0,100.0,140313,0,0,-2,2,1,2,2.7,2.3,0,Snorre,2.3,96,False,,2024-05-05T22:49:55.229298Z,48,140313.jpg,2.7,Strand Nilsen,0.9,False,,a,4,50,62,94,0,1216,0,0.5,12.9,Strand Nilsen,,1504,1,0,5,19,0,0,1,0,0,2,0,0.000000,3706185.0
96,,,416417,0,0,0,0,0,3,0.0,0.0,0,William,0.0,97,False,,,50,416417.jpg,0.0,Osnes-Ringen,0.0,False,,a,4,50,0,0,0,0,0,0.0,0.0,Osnes-Ringen,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3330513.0
97,,,341152,0,0,-1,1,0,3,0.0,0.0,0,Enok,0.0,98,False,,,44,341152.jpg,0.0,Naustdal,0.0,False,,a,4,50,0,5,0,12,0,0.0,0.0,Naustdal,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3395511.0
98,,,319349,0,0,-1,1,0,1,0.0,0.0,0,Sander,0.0,99,False,,,39,319349.jpg,0.0,Østraat,1.9,False,,a,4,50,0,493,0,800,0,0.0,0.0,Østraat,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3725262.0
99,,,146436,0,0,7,-7,5,2,3.7,2.7,1,Gard,2.7,100,True,,,52,146436.jpg,4.5,Simenstad,14.6,False,,a,4,50,121,8979,0,1695,0,0.5,23.3,Simenstad,,2180,3,8,8,30,0,0,3,0,0,8,0,0.000000,3816650.0
100,100.0,100.0,300945,0,0,-1,1,0,3,0.0,0.0,0,Jonas,0.0,101,False,,2024-06-28T16:43:59.838343Z,44,300945.jpg,0.0,Rasen,0.0,False,,a,4,50,0,1,0,8,0,0.0,0.0,Rasen,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3067413.0
101,100.0,100.0,86651,0,0,0,0,1,3,6.3,5.7,1,Morten,5.7,102,False,,2024-10-17T20:28:28.128460Z,55,86651.jpg,3.0,Ågnes Konradsen,0.1,False,,a,5,16,64,76,0,51,0,1.0,11.6,Konradsen,,1302,2,4,4,27,0,0,0,0,0,3,0,0.000000,2150434.0
102,0.0,0.0,141139,0,0,0,0,5,1,0.0,0.0,0,Egil,1.0,103,False,Suspendert,2024-11-23T20:52:47.531382Z,45,141139.jpg,3.8,Selvik,33.2,False,,s,5,16,110,5502,0,8569,0,0.2,24.4,Selvik,,2561,0,0,8,45,1,0,3,1,99,16,0,0.000000,3913160.0
103,,,188002,0,0,0,0,0,2,4.3,3.7,4,Ulrik,3.7,104,False,,,45,188002.jpg,2.9,Fredriksen,1.2,False,,a,5,16,86,587,0,327,0,0.8,19.1,Fredriksen,,2700,0,2,8,46,0,0,1,0,0,6,0,0.000000,2815456.0
104,100.0,100.0,163613,0,0,-2,2,1,3,2.3,1.7,1,Sondre,1.7,105,False,,2024-10-01T12:41:53.354664Z,53,163613.jpg,2.1,Liseth,0.2,False,,a,5,16,46,222,0,188,0,0.3,8.7,Liseth,,1391,1,1,7,21,0,0,3,1,0,1,0,0.000000,3785777.0
105,100.0,100.0,140064,0,0,-2,2,0,4,0.3,1.7,5,Martin,1.7,106,False,,2024-05-26T14:28:06.178546Z,53,140064.jpg,1.6,Samuelsen,0.2,False,,a,5,16,11,19,0,72,0,0.3,2.1,Samuelsen,,156,1,0,0,1,0,0,0,0,0,0,0,0.000000,2915376.0
106,0.0,0.0,373264,0,0,0,0,0,2,0.0,0.0,0,Eivind,0.0,107,False,Utlånt til Mjøndalen ut sesongen,2024-03-21T13:20:52.319251Z,40,373264.jpg,0.0,Helgeland,0.0,False,,u,5,16,0,0,0,5,0,0.0,0.0,Helgeland,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3124149.0
107,100.0,100.0,349101,0,0,-2,2,2,2,3.7,5.7,11,Anders,5.7,108,False,,2024-09-16T07:47:19.928608Z,43,349101.jpg,2.9,Bærtelsen,1.2,False,,a,5,16,78,174,0,326,0,1.3,18.1,Bærtelsen,,2430,1,0,8,37,0,0,5,0,0,6,1,0.000000,3937156.0
108,100.0,100.0,355275,0,0,0,0,0,2,2.3,2.3,1,Vegard,2.3,109,False,,2024-03-19T09:04:11.462052Z,45,355275.jpg,2.4,Solheim,0.0,False,,a,5,16,17,3,0,18,0,0.5,3.8,Solheim,,373,0,0,2,6,0,0,0,0,0,0,0,0.000000,2798346.0
109,50.0,50.0,125406,0,0,-1,1,0,1,0.0,0.0,0,Amund,0.0,110,False,Kne - 25 % sjanse for å spille,2024-03-19T09:04:11.415076Z,44,125406.jpg,0.0,Wichne,0.1,False,,d,5,16,0,2,0,13,0,0.0,0.0,Wichne,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,2715197.0
110,100.0,100.0,262858,0,0,-1,1,0,3,2.7,0.7,0,Julius,0.7,111,False,,2024-11-03T21:20:27.728156Z,64,262858.jpg,3.5,Eskesen,0.6,False,,a,5,16,92,498,0,547,0,0.1,14.4,Eskesen,,2265,3,5,6,41,0,0,4,0,0,9,0,0.000000,3977707.0
111,0.0,0.0,189344,0,0,-3,3,0,3,0.0,0.0,0,Bilal,0.7,112,False,Smell - Ute resten av sesongen,2024-11-29T23:04:56.318451Z,57,189344.jpg,2.2,Njie,0.7,False,,i,10,14,54,25,0,277,0,0.1,9.5,Njie,,1154,2,2,3,26,0,0,1,0,0,0,0,0.000000,3939741.0
112,,,247211,0,0,-9,9,3,3,5.0,4.3,1,Sebastian,4.3,113,False,,,51,247211.jpg,3.1,Tounekti,1.1,False,,a,5,16,91,4319,0,3901,0,0.8,17.8,Tounekti,,2293,4,2,8,39,0,0,5,0,0,7,0,0.000000,2748925.0
113,0.0,0.0,99044,0,0,0,0,1,3,0.0,0.0,0,Bruno,1.3,114,False,Smell - Ute resten av sesongen,2024-11-23T20:52:47.698458Z,50,99044.jpg,2.4,Leite,2.1,False,,i,5,16,66,1470,0,1416,0,0.3,13.2,Leite,,1741,3,0,8,22,0,0,5,0,0,3,0,0.000000,3508005.0
114,100.0,100.0,314941,0,0,-4,4,0,3,0.3,1.7,4,Troy,1.7,115,False,,2024-05-26T20:27:25.882756Z,56,314941.jpg,1.8,Engseth Nyhammer,0.2,False,,a,5,16,45,9,0,103,0,0.3,8.0,Nyhammer,,840,1,3,2,18,0,0,2,1,0,3,0,0.000000,3646624.0
115,100.0,100.0,487098,0,0,-1,1,1,2,1.0,1.0,1,Claus,1.0,116,False,,2024-07-09T12:45:20.305722Z,44,487098.jpg,2.1,Niyukuri,0.6,False,,a,5,16,33,60,0,221,0,0.2,7.5,Niyukuri,,903,1,0,2,17,0,0,3,0,0,3,0,0.000000,4000203.0
116,100.0,100.0,319345,0,0,-1,1,0,2,0.7,0.3,0,Mikkel,0.3,117,False,,2024-10-01T12:48:28.500076Z,44,319345.jpg,2.1,Hope,2.2,False,,a,5,16,55,1680,0,1671,0,0.1,12.5,Hope,,1706,1,2,3,31,0,0,4,0,0,2,0,0.000000,3671644.0
117,100.0,100.0,518690,0,0,-1,1,1,4,3.3,0.3,0,Sory Ibrahim,0.3,118,False,,2024-11-10T22:42:27.555927Z,64,518690.jpg,2.8,Diarra,4.9,False,,a,5,16,73,6253,0,5860,0,0.0,11.4,Diarra,,1799,5,1,5,31,0,0,7,0,0,12,0,0.000000,3996493.0
118,100.0,100.0,314943,0,0,-1,1,0,3,1.3,2.0,2,Sander,2.0,119,False,,2024-07-05T12:50:56.693990Z,54,314943.jpg,1.7,Håvik Innvær,0.1,False,,a,5,16,43,5,0,9,0,0.4,8.0,Innvær,,912,1,0,3,12,0,0,1,0,0,3,0,0.000000,3584397.0
119,100.0,100.0,689740,0,0,0,0,0,2,0.0,0.0,0,Madiodio,0.0,120,False,,2024-09-13T08:14:42.668879Z,40,689740.jpg,1.0,Dia,0.2,False,,a,5,16,2,10,0,124,0,0.0,0.5,Dia,,11,0,0,0,0,0,0,0,0,0,0,0,0.000000,4040592.0
120,100.0,100.0,314481,0,0,-1,1,0,3,0.0,0.3,1,Almar,0.3,121,False,,2024-03-29T02:36:21.048534Z,44,314481.jpg,1.0,Grindhaug,0.1,False,,a,5,16,1,7,0,23,0,0.1,0.2,Grindhaug,,8,0,0,0,0,0,0,0,0,0,0,0,0.000000,3331572.0
121,50.0,50.0,681364,0,0,0,0,0,4,0.0,0.0,0,Ismael,0.0,122,False,,2024-07-05T12:50:56.726895Z,60,681364.jpg,1.3,Seone,0.5,False,,d,5,16,9,555,0,611,0,0.0,1.5,Seone,,80,1,0,0,1,0,0,2,0,0,0,0,0.000000,4061291.0
122,0.0,0.0,507274,0,0,-1,1,0,2,0.0,0.0,0,Hlynur,0.0,123,False,Solgt til Brommapojkarna,2024-07-05T12:07:22.221005Z,44,507274.jpg,1.0,Karlsson,0.0,False,,u,5,16,3,0,0,5,0,0.0,0.7,Karlsson,,83,0,0,0,1,0,0,0,0,0,0,0,0.000000,4056418.0
123,,,355565,0,0,-3,3,0,3,0.0,0.0,0,Emir,0.0,124,False,,,42,355565.jpg,0.0,Derviskadić,0.2,False,,a,5,16,0,64,0,91,0,0.0,0.0,Derviskadić,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3124908.0
124,,,492361,0,0,-6,6,0,3,0.0,0.7,2,Anton Logi,0.7,125,False,,,39,492361.jpg,1.3,Lúdvíksson,1.6,False,,a,5,16,28,1455,0,1268,0,0.2,7.2,Lúdvíksson,,1009,0,0,2,19,0,0,3,0,0,0,0,0.000000,4052571.0
125,0.0,0.0,544042,0,0,0,0,0,3,0.0,0.0,0,Jong-min,0.0,126,False,Avsluttet kontrakt,2024-04-05T09:59:24.770073Z,55,544042.jpg,0.0,Seo,0.0,False,,u,5,16,0,0,0,18,0,0.0,0.0,Seo,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,4052546.0
126,,,689739,0,0,-3,3,0,3,0.0,0.0,0,Amidou,0.0,127,False,,,42,689739.jpg,0.0,Traoré,0.2,False,,a,5,16,0,37,0,87,0,0.0,0.0,Traoré,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,4040560.0
127,,,516728,0,0,-2,2,0,2,0.0,0.0,0,Mathias,0.0,128,False,,,43,516728.jpg,0.0,Myklebust,0.1,False,,a,5,16,0,4,0,11,0,0.0,0.0,Myklebust,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3616697.0
128,0.0,0.0,158308,0,0,-1,1,1,2,0.0,0.0,0,Oscar,3.3,129,False,Suspendert,2024-11-23T20:52:47.593561Z,44,158308.jpg,2.8,Krusnell,0.2,False,,s,5,16,76,171,0,90,0,0.7,17.3,Krusnell,,2190,0,5,7,37,0,0,4,0,0,0,0,0.000000,3998309.0
129,0.0,0.0,309081,0,0,3,-3,1,3,0.0,0.0,0,Petter,0.0,130,False,Solgt til KV Mechelen,2024-07-23T20:19:35.012611Z,68,309081.jpg,4.9,Nosa Dahl,2.8,False,,u,6,1438,73,3632,0,3414,0,0.0,10.7,Nosa Dahl,,1159,6,2,5,14,0,0,2,0,0,5,0,0.000000,3909436.0
130,100.0,100.0,22229,0,0,-1,1,2,2,0.7,1.0,1,Amin,1.0,131,False,,2024-06-27T21:31:10.324866Z,44,22229.jpg,3.0,Nouri,1.0,False,,a,6,1438,70,383,0,364,0,0.2,15.9,Nouri,,1375,1,1,6,12,0,0,2,0,0,5,0,0.000000,2523893.0
131,100.0,100.0,95446,0,0,-3,3,0,3,1.3,2.0,3,Moussa,2.0,132,False,,2024-07-27T15:09:45.375739Z,52,95446.jpg,1.7,Njie,0.1,False,,a,6,1438,36,15,0,40,0,0.4,6.9,Moussa Njie,,822,1,0,5,10,0,0,1,0,0,0,0,0.000000,2213809.0
132,100.0,100.0,187884,0,0,12,-12,7,4,3.0,3.0,2,Johannes Andres,3.0,133,True,,2024-07-25T12:00:13.771898Z,67,187884.jpg,4.6,Hummelvoll-Nuñez,32.8,False,,a,6,1438,123,25779,0,12501,0,0.4,18.4,Nuñez,,2028,10,6,9,25,0,1,2,0,0,18,0,0.000000,3449425.0
133,100.0,100.0,168198,0,0,-2,2,0,3,2.0,2.3,3,Obilor Denzel,2.3,134,False,,2024-09-24T17:58:16.511626Z,63,168198.jpg,2.1,Okeke,0.1,False,,a,6,1438,30,30,0,73,0,0.4,4.8,Okeke,,599,1,1,4,8,0,0,2,0,0,0,0,0.000000,3523087.0
134,0.0,0.0,189673,0,0,-2,2,0,2,0.0,0.0,0,Mohammed Hopsdal,0.0,135,False,Utlånt til Strømmen ut sesongen,2024-07-16T14:03:46.719945Z,38,189673.jpg,0.0,Abbas,0.7,False,,u,6,1438,0,142,0,390,0,0.0,0.0,Abbas,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3106187.0
135,100.0,100.0,82568,0,0,-1,1,0,2,0.7,2.7,6,Akinsola,2.7,136,False,,2024-09-16T07:37:57.929329Z,44,82568.jpg,1.9,Akinyemi,0.2,False,,a,6,1438,33,35,0,105,0,0.6,7.5,Akinyemi,,1136,0,0,4,17,0,0,4,0,0,0,0,0.000000,3497368.0
136,100.0,100.0,68433,0,0,-1,1,1,2,1.3,4.3,10,Haitam,4.3,137,False,,2024-09-18T19:24:22.843285Z,44,68433.jpg,2.7,Aleesami,1.0,False,,a,6,1438,68,239,0,396,0,1.0,15.5,H. Aleesami,,2131,1,1,7,29,0,0,3,2,0,3,0,0.000000,2536427.0
137,100.0,100.0,162725,0,0,1,-1,2,2,1.3,1.0,0,Ayoub,1.0,138,False,,2024-03-26T09:52:47.693281Z,41,162725.jpg,3.0,Aleesami,7.8,False,,a,6,1438,67,4015,0,1933,0,0.2,16.3,A. Aleesami,,1759,1,1,5,22,0,0,2,0,0,6,0,0.000000,2232951.0
138,0.0,0.0,286642,0,0,-1,1,0,2,0.0,0.0,0,Kristoffer,0.0,139,False,Utlånt til Moss,2024-06-28T16:45:21.400508Z,39,286642.jpg,0.3,Lassen Harrison,0.4,False,,u,6,1438,1,101,0,317,0,0.0,0.3,Lassen Harrison,,65,0,0,0,4,0,0,0,0,0,0,0,0.000000,3686375.0
139,,,134993,0,0,-2,2,0,2,1.0,2.7,6,David,2.7,140,False,,,43,134993.jpg,2.6,Hickson,0.7,False,,a,6,1438,73,423,0,242,0,0.6,17.0,Hickson,,1688,0,0,9,16,0,0,1,0,0,0,0,0.000000,3516254.0
140,100.0,100.0,262919,0,0,-3,3,0,2,1.7,1.3,1,Jonas,1.3,141,False,,2024-03-19T09:06:19.145773Z,42,262919.jpg,1.5,Hjorth,0.0,False,,a,6,1438,22,4,0,6,0,0.3,5.2,Hjorth,,613,0,2,0,15,0,0,1,0,0,0,0,0.000000,3532581.0
141,100.0,100.0,316229,0,0,0,0,1,2,0.3,2.3,6,Momodou,2.3,142,False,,2024-11-03T21:18:44.212019Z,45,316229.jpg,2.9,Njie,0.9,False,,a,6,1438,75,581,0,364,0,0.5,16.7,Momodou Njie,,2213,1,0,8,28,0,0,4,0,0,3,2,0.000000,3895570.0
142,,,548872,0,0,-3,3,0,2,0.0,0.0,0,Joachim,0.0,143,False,,,37,548872.jpg,0.0,Prent-Eckbo,0.2,False,,a,6,1438,0,72,0,88,0,0.0,0.0,Prent-Eckbo,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3561641.0
143,100.0,100.0,338581,0,0,-1,1,0,2,0.0,0.3,1,Mathias,0.3,144,False,,2024-04-26T10:09:17.374537Z,44,338581.jpg,2.2,Tønnessen,0.2,False,,a,6,1438,11,18,0,58,0,0.1,2.5,Tønnessen,,378,0,0,1,5,0,0,1,0,0,0,0,0.000000,3457250.0
144,100.0,100.0,297347,0,0,-2,2,0,1,2.0,3.3,6,William,3.3,145,False,,2024-05-03T11:37:30.960659Z,43,297347.jpg,3.0,Da Rocha,0.4,False,,a,6,1438,12,19,0,104,0,0.8,2.8,Da Rocha,,360,0,0,1,5,0,0,0,0,9,0,0,0.000000,3817580.0
145,0.0,0.0,123779,0,0,0,0,0,1,0.0,0.0,0,Andreas,0.0,146,False,På lån til Bærum SK,2024-05-03T11:39:52.629863Z,40,123779.jpg,0.0,Vedeler,1.5,False,,u,6,1438,0,178,0,822,0,0.0,0.0,Vedeler,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3720580.0
146,0.0,0.0,125437,0,0,0,0,1,1,0.0,0.0,0,Emil,0.0,147,False,Hånd - Ute resten av sesongen,2024-11-23T20:12:22.955004Z,45,125437.jpg,3.5,Ødegaard,1.9,False,,i,6,1438,91,1084,0,530,0,0.0,20.2,Ødegaard,,2280,0,1,7,31,0,0,0,0,51,12,0,0.000000,3197957.0
147,,,137920,0,0,-4,4,0,3,0.0,0.0,0,Adnan,0.0,148,False,,,41,137920.jpg,1.0,Hadzic,0.3,False,,a,6,1438,1,83,0,140,0,0.0,0.2,Hadzic,,45,0,0,0,0,0,0,0,0,0,0,0,0.000000,2670789.0
148,,,188558,0,0,-2,2,0,3,1.0,1.0,1,Teodor,1.0,149,False,,,53,188558.jpg,1.7,Haltvik,0.1,False,,a,6,1438,42,13,0,29,0,0.2,7.9,Haltvik,,1011,0,2,4,14,0,0,2,0,0,0,0,0.000000,3059542.0
149,,,105296,0,0,-1,1,1,3,3.0,4.7,10,Simen,4.7,150,False,,,54,105296.jpg,3.2,Hestnes,0.5,False,,a,6,1438,97,441,0,346,0,0.9,18.0,Hestnes,,2667,3,3,9,35,0,0,3,0,0,7,0,0.000000,2547073.0
150,100.0,100.0,136688,0,0,-1,1,2,2,0.3,5.3,15,Håkon,5.3,151,False,,2024-09-16T07:37:57.954777Z,44,136688.jpg,3.5,Hoseth,2.4,False,,a,6,1438,66,3086,0,2242,0,1.2,15.0,Hoseth,,1262,2,1,5,20,0,0,2,0,0,7,0,0.000000,3759711.0
151,0.0,0.0,95806,0,0,-2,2,1,3,0.0,0.0,0,Robin,0.0,152,False,Lår - Ute resten av sesongen,2024-11-03T21:32:11.034502Z,53,95806.jpg,3.6,Rasch,1.7,False,,i,6,1438,79,610,0,1511,0,0.0,14.9,Rasch,,1917,3,3,8,22,0,0,4,0,0,7,0,0.000000,3683593.0
152,,,309150,0,0,-4,4,0,3,2.0,2.3,3,Sverre,2.3,153,False,,,46,309150.jpg,1.4,Sandal,0.2,False,,a,6,1438,37,20,0,164,0,0.5,8.0,Sandal,,1216,0,0,3,16,0,0,3,0,0,1,0,0.000000,3049204.0
153,,,109423,0,0,-3,3,0,3,1.3,0.7,0,Remi-André,0.7,154,False,,,57,109423.jpg,1.9,Svindland,0.1,False,,a,6,1438,52,10,0,67,0,0.1,9.1,Svindland,,1321,1,2,3,21,0,0,3,0,0,0,0,0.000000,2885728.0
154,,,514209,0,0,0,0,1,4,3.0,3.7,2,Hilmir,3.7,155,False,,,60,514209.jpg,2.4,Mikaelsson,0.8,False,,a,7,2718,65,851,0,677,0,0.6,10.8,Mikaelsson,,1559,3,1,3,27,0,0,3,0,0,8,0,0.000000,3989027.0
155,100.0,100.0,179819,0,0,-3,3,0,3,1.3,1.7,1,Franklin,1.7,156,False,,2024-06-24T14:02:41.625254Z,57,179819.jpg,1.1,Nyenetue,0.2,False,,a,7,2718,18,9,0,116,0,0.3,3.2,Nyenetue,,290,0,0,1,10,0,0,0,0,0,0,0,0.000000,2795755.0
156,,,173309,0,0,0,0,1,1,2.7,1.0,0,Michael,1.0,157,False,,,45,173309.jpg,3.5,Lansing,4.0,False,,a,7,2718,104,2526,0,727,0,0.2,23.1,Lansing,,2700,0,1,5,45,0,0,3,0,100,17,1,0.000000,3897953.0
157,,,303722,0,0,-3,3,0,2,0.0,0.0,0,Isak,0.0,158,False,,,37,303722.jpg,0.0,Aalberg,0.4,False,,a,7,2718,0,151,0,143,0,0.0,0.0,Aalberg,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3321699.0
158,0.0,0.0,297631,0,0,-2,2,0,3,0.0,0.0,0,Awet Ermias,0.0,159,False,På utlån til Levanger,2024-09-11T07:41:41.275696Z,48,297631.jpg,0.0,Alemseged,0.0,False,,u,7,2718,0,1,0,5,0,0.0,0.0,Alemseged,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,4036242.0
159,50.0,50.0,356863,0,0,-1,1,0,4,0.0,0.0,0,Leander,0.0,160,False,Smell - 25 % sjanse for å spille,2024-09-21T08:29:38.815302Z,44,356863.jpg,1.0,Alvheim,1.2,False,,d,7,2718,10,953,0,1088,0,0.0,2.3,Alvheim,,86,0,0,0,4,0,0,0,0,0,0,0,0.000000,3329654.0
160,0.0,0.0,255138,0,0,4,-4,2,4,0.0,0.0,0,Pape,0.0,161,False,Lån avsluttet,2024-07-16T19:17:22.393896Z,64,255138.jpg,3.6,Guèye,2.1,False,,u,7,2718,54,5855,0,5308,0,0.0,8.4,Guèye,,1232,4,3,1,21,0,0,3,0,0,4,0,0.000000,3400324.0
161,,,542868,0,0,-1,1,0,3,0.0,0.0,0,Haakon,0.0,162,False,,,49,542868.jpg,1.0,Haugen,0.1,False,,a,7,2718,6,7,0,16,0,0.0,1.2,Haugen,,26,0,0,0,2,0,0,0,0,0,0,0,0.000000,3443624.0
162,100.0,100.0,279649,0,0,-1,1,2,2,2.7,2.3,1,Mikkel,2.3,163,False,,2024-11-03T21:26:56.480992Z,49,279649.jpg,3.2,Rakneberg,1.4,False,,a,7,2718,87,1421,0,1051,0,0.5,17.8,Rakneberg,,2311,1,4,6,34,0,0,4,0,0,7,0,0.000000,2809906.0
163,100.0,100.0,297813,0,0,-1,1,3,3,4.0,2.7,1,Oskar,2.7,164,False,,2024-11-03T21:17:32.256282Z,64,297813.jpg,4.0,Sivertsen,6.8,False,,a,7,2718,113,10790,0,8278,0,0.4,17.7,Sivertsen,,2052,5,7,8,27,0,0,4,0,0,13,0,0.000000,3471893.0
164,100.0,100.0,317941,0,0,-2,2,0,4,0.0,0.0,0,Marius,0.0,165,False,,2024-05-26T14:35:21.612850Z,43,317941.jpg,0.0,Weidel,1.3,False,,a,7,2718,0,838,0,445,0,0.0,0.0,Weidel,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3207887.0
165,0.0,0.0,373348,0,0,-2,2,0,3,0.0,0.0,0,Brynjólfur,0.0,166,False,Solgt til Groningen,2024-07-13T11:47:03.521716Z,63,373348.jpg,2.1,Willumsson,0.1,False,,u,7,2718,17,7,0,83,0,0.0,2.7,Willumsson,,535,1,0,1,10,0,1,2,0,0,1,0,0.000000,3908586.0
166,100.0,100.0,54957,0,0,-1,1,0,2,1.3,1.3,1,Christoffer,1.3,167,False,,2024-07-24T10:45:38.814785Z,44,54957.jpg,1.1,Aasbak,0.1,False,,a,7,2718,16,5,0,65,0,0.3,3.6,Aasbak,,661,0,0,0,15,0,0,1,0,0,0,0,0.000000,2439351.0
167,100.0,100.0,257843,0,0,0,0,0,2,2.0,1.3,0,Marius,1.3,168,False,,2024-07-26T08:29:28.880988Z,45,257843.jpg,2.1,Olsen,0.2,False,,a,7,2718,49,45,0,44,0,0.3,10.9,Olsen,,1948,0,0,4,35,0,0,2,0,0,3,0,0.000000,3333639.0
168,100.0,100.0,309084,0,0,-1,1,0,2,2.0,1.3,0,Håkon,1.3,169,False,,2024-03-19T09:08:05.052795Z,44,309084.jpg,1.7,Sjåtil,0.2,False,,a,7,2718,50,79,0,51,0,0.3,11.4,Sjåtil,,2058,0,0,3,36,0,0,2,0,0,0,0,0.000000,3043397.0
